x,y,theta,v
1.51227,5.98513,1.4544,0.269863
1.51383,5.9985,1.4544,0.26932
1.51539,6.01185,1.4544,0.268778
1.51695,6.02517,1.4544,0.268237
1.5185,6.03847,1.4544,0.267697
1.52005,6.05173,1.4544,0.267159
1.5216,6.06497,1.4544,0.266621
1.52315,6.07819,1.4544,0.266085
1.52469,6.09138,1.4544,0.265549
1.52623,6.10454,1.4544,0.265015
1.52776,6.11767,1.4544,0.264482
1.5293,6.13078,1.4544,0.26395
1.53083,6.14386,1.4544,0.263418
1.53235,6.15692,1.4544,0.262888
1.53388,6.16995,1.4544,0.262359
1.5354,6.18295,1.4544,0.261831
1.53691,6.19593,1.4544,0.261305
1.53843,6.20888,1.4544,0.260779
1.53994,6.2218,1.4544,0.260254
1.54145,6.2347,1.4544,0.25973
1.54295,6.24757,1.4544,0.259208
1.54446,6.26042,1.4544,0.258686
1.54595,6.27324,1.4544,0.258166
1.54745,6.28604,1.4544,0.257646
1.54894,6.2988,1.4544,0.257128
1.55043,6.31155,1.4544,0.25661
1.55192,6.32427,1.4544,0.256094
1.55341,6.33696,1.4544,0.255579
1.55489,6.34963,1.4544,0.255065
1.55636,6.36227,1.4544,0.254551
1.55784,6.37488,1.4544,0.254039
1.55931,6.38747,1.4544,0.253528
1.56078,6.40004,1.4544,0.253018
1.56225,6.41258,1.4544,0.252509
1.56371,6.42509,1.4544,0.252001
1.56517,6.43758,1.4544,0.251493
1.56663,6.45005,1.4544,0.250987
1.56808,6.46249,1.4544,0.250482
1.56953,6.4749,1.4544,0.249978
1.57098,6.48729,1.4544,0.249475
1.57243,6.49966,1.4544,0.248973
1.57387,6.512,1.4544,0.248472
1.57531,6.52431,1.4544,0.247972
1.57675,6.5366,1.4544,0.247474
1.57818,6.54887,1.4544,0.246976
1.57961,6.56111,1.4544,0.246479
1.58104,6.57332,1.4544,0.245983
1.58247,6.58551,1.4544,0.245488
1.58389,6.59768,1.4544,0.244994
1.58531,6.60982,1.4544,0.244501
1.58673,6.62194,1.4544,0.244009
1.58814,6.63403,1.4544,0.243518
1.58955,6.6461,1.4544,0.243028
1.59096,6.65815,1.4544,0.242539
1.59237,6.67017,1.4544,0.242051
1.59377,6.68216,1.4544,0.241564
1.59517,6.69411,1.4544,0.240602
1.59655,6.70599,1.4544,0.239159
1.59793,6.71778,1.4544,0.237359
1.5993,6.72946,1.4544,0.235297
1.60065,6.74104,1.4544,0.233045
1.60199,6.75249,1.4544,0.230656
1.60332,6.76382,1.4544,0.228173
1.60463,6.77503,1.4544,0.225626
1.60592,6.7861,1.4544,0.223039
1.6072,6.79705,1.4544,0.220429
1.60847,6.80787,1.4544,0.217811
1.60972,6.81855,1.4544,0.215194
1.61095,6.82911,1.4544,0.212585
1.61217,6.83954,1.4544,0.209991
1.61337,6.84984,1.4544,0.207416
1.61456,6.86001,1.4544,0.204862
1.61574,6.87006,1.4544,0.202332
1.6169,6.87999,1.4544,0.199827
1.61805,6.88979,1.4544,0.197349
1.61918,6.89947,1.4544,0.194899
1.62029,6.90903,1.4544,0.192476
1.6214,6.91847,1.4544,0.190082
1.62249,6.92779,1.4544,0.187716
1.62356,6.93699,1.4544,0.185378
1.62463,6.94609,1.4544,0.183069
1.62568,6.95506,1.4544,0.180788
1.62671,6.96393,1.4544,0.178534
1.62774,6.97269,1.4544,0.176309
1.62875,6.98133,1.4544,0.174111
1.62975,6.98987,1.4544,0.17194
1.63073,6.9983,1.4544,0.169796
1.63171,7.00663,1.4544,0.167678
1.63267,7.01485,1.4544,0.165587
1.63362,7.02297,1.4544,0.163522
1.63456,7.03099,1.4544,0.161483
1.63548,7.03891,1.4544,0.159469
1.6364,7.04673,1.4544,0.15748
1.6373,7.05446,1.4544,0.155516
1.63819,7.06208,1.4544,0.153576
1.63907,7.06962,1.4544,0.151661
1.63994,7.07705,1.4544,0.149769
1.6408,7.0844,1.4544,0.147901
1.64165,7.09165,1.4544,0.146057
1.64249,7.09882,1.4544,0.144235
1.64331,7.10589,1.4544,0.142436
1.64413,7.11287,1.4544,0.140659
1.64494,7.11977,1.4544,0.138905
1.64573,7.12658,1.4544,0.137173
1.64652,7.13331,1.4544,0.135462
1.6473,7.13996,1.4544,0.133772
1.64806,7.14652,1.4544,0.132104
1.64882,7.15299,1.4544,0.130456
1.64957,7.15939,1.4544,0.128829
1.65031,7.16571,1.4544,0.127222
1.65104,7.17195,1.4544,0.125635
1.65176,7.17811,1.4544,0.124068
1.65247,7.1842,1.4544,0.122521
1.65317,7.1902,1.4544,0.120993
1.65387,7.19614,1.4544,0.119484
1.65455,7.202,1.4544,0.117993
1.65523,7.20778,1.4544,0.116522
1.6559,7.2135,1.4544,0.115068
1.65656,7.21914,1.4544,0.113633
1.65721,7.22471,1.4544,0.112216
1.65785,7.23022,1.4544,0.110816
1.65849,7.23565,1.4544,0.109434
1.65911,7.24102,1.4544,0.108069
1.65973,7.24632,1.4544,0.106721
1.66035,7.25155,1.4544,0.10539
1.66095,7.25672,1.4544,0.104076
1.66155,7.26183,1.4544,0.102777
1.66214,7.26687,1.4544,0.101496
1.66272,7.27184,1.4544,0.10023
1.66329,7.27676,1.4544,0.0989795
1.66386,7.28161,1.4544,0.097745
1.66442,7.28641,1.4544,0.0965259
1.66497,7.29114,1.4544,0.0953219
1.66552,7.29582,1.4544,0.094133
1.66606,7.30043,1.4544,0.092959
1.66659,7.30499,1.4544,0.0917995
1.66712,7.30949,1.4544,0.0906545
1.66764,7.31394,1.4544,0.0895238
1.66815,7.31833,1.4544,0.0884072
1.66866,7.32267,1.4544,0.0873046
1.66916,7.32695,1.4544,0.0862157
1.66965,7.33118,1.4544,0.0851403
1.67014,7.33535,1.4544,0.0840784
1.67063,7.33947,1.4544,0.0830297
1.6711,7.34355,1.4544,0.0819941
1.67157,7.34757,1.4544,0.0809715
1.67204,7.35154,1.4544,0.0799615
1.67249,7.35546,1.4544,0.0789642
1.67295,7.35933,1.4544,0.0779793
1.67339,7.36316,1.4544,0.0770067
1.67384,7.36693,1.4544,0.0760462
1.67427,7.37066,1.4544,0.0750977
1.6747,7.37435,1.4544,0.0741611
1.67513,7.37798,1.4544,0.0732361
1.67555,7.38157,1.4544,0.0723227
1.67596,7.38512,1.4544,0.0714206
1.67637,7.38862,1.4544,0.0705298
1.67678,7.39208,1.4544,0.0696501
1.67718,7.3955,1.4544,0.0687814
1.67757,7.39887,1.4544,0.0679235
1.67796,7.4022,1.4544,0.0670763
1.67834,7.40549,1.4544,0.0662397
1.67872,7.40874,1.4544,0.0654135
1.6791,7.41195,1.4544,0.0645977
1.67947,7.41512,1.4544,0.063792
1.67984,7.41825,1.4544,0.0629963
1.6802,7.42134,1.4544,0.0622106
1.68055,7.42439,1.4544,0.0614347
