position_error,angular_error
4.26389,-4.85867e-05
4.24525,-4.56808e-05
4.22665,-4.28193e-05
4.20808,-4.00295e-05
4.18955,-3.73305e-05
4.17106,-3.4739e-05
4.15261,-3.22659e-05
4.13419,-2.99188e-05
4.11581,-2.77246e-05
4.09747,-2.56687e-05
4.07917,-2.37451e-05
4.0609,-2.19486e-05
4.04266,-2.02751e-05
4.02447,-1.87197e-05
4.00631,-1.72773e-05
3.98819,-1.59426e-05
3.9701,-1.471e-05
3.95205,-1.35737e-05
3.93404,-1.2528e-05
3.91606,-1.15671e-05
3.89812,-1.06857e-05
3.88022,-9.87812e-06
3.86235,-9.13935e-06
3.84452,-8.46315e-06
3.82672,-7.84455e-06
3.80896,-7.27927e-06
3.79123,-6.76313e-06
3.77354,-6.29241e-06
3.75589,-5.86354e-06
3.73827,-5.47327e-06
3.72069,-5.11855e-06
3.70314,-4.79657e-06
3.68563,-4.5047e-06
3.66815,-4.2405e-06
3.65071,-4.00172e-06
3.6333,-3.78626e-06
3.61593,-3.59217e-06
3.5986,-3.41768e-06
3.58129,-3.2611e-06
3.56403,-3.1209e-06
3.54679,-2.9903e-06
3.5296,-2.85815e-06
3.51243,-2.73732e-06
3.49531,-2.62375e-06
3.47821,-2.52136e-06
3.46115,-2.42829e-06
3.44413,-2.34536e-06
3.42714,-2.27144e-06
3.41018,-2.20632e-06
3.39326,-2.14915e-06
3.37637,-2.09942e-06
3.35951,-2.05644e-06
3.34269,-2.01964e-06
3.3259,-1.98845e-06
3.30915,-1.8656e-06
3.29243,-1.73371e-06
3.27575,-1.57118e-06
3.25909,-1.40907e-06
3.24248,-1.25789e-06
3.22589,-1.12003e-06
3.20934,-9.9681e-07
3.19282,-8.88269e-07
3.17633,-7.9398e-07
3.15988,-7.30625e-07
3.14346,-6.87304e-07
3.12708,-6.62561e-07
3.11072,-6.60373e-07
3.0944,-6.76805e-07
3.07812,-6.87519e-07
3.06186,-7.06267e-07
3.04564,-7.24227e-07
3.02945,-7.45845e-07
3.01329,-7.67733e-07
2.99717,-7.91173e-07
2.98108,-8.14757e-07
2.96502,-8.38747e-07
2.94899,-8.62496e-07
2.933,-8.85975e-07
2.91703,-9.08859e-07
2.9011,-9.31061e-07
2.88521,-9.52411e-07
2.86934,-9.72837e-07
2.85351,-9.92247e-07
2.8377,-1.0106e-06
2.82193,-1.02785e-06
2.80619,-1.04398e-06
2.79049,-1.05897e-06
2.77481,-1.07284e-06
2.75917,-1.08558e-06
2.74355,-1.09721e-06
2.72797,-1.10775e-06
2.71242,-1.11722e-06
2.6969,-1.12564e-06
2.68141,-1.13306e-06
2.66596,-1.13949e-06
2.65053,-1.12848e-06
2.63514,-1.11055e-06
2.61978,-1.08519e-06
2.60444,-1.05695e-06
2.58914,-1.02623e-06
2.57387,-9.95049e-07
2.55863,-9.63795e-07
2.54342,-9.33351e-07
2.52824,-9.03941e-07
2.5131,-8.75913e-07
2.49798,-8.49345e-07
2.48289,-8.24333e-07
2.46783,-8.00862e-07
2.45281,-7.78911e-07
2.43781,-7.58411e-07
2.42284,-7.39293e-07
2.40791,-7.21466e-07
2.393,-7.04842e-07
2.37813,-6.89328e-07
2.36328,-6.74831e-07
2.34846,-6.6046e-07
2.33368,-6.46159e-07
2.31892,-6.32298e-07
2.30419,-6.18837e-07
2.2895,-6.05903e-07
2.27483,-5.93468e-07
2.26019,-5.81563e-07
2.24558,-5.70162e-07
2.231,-5.59253e-07
2.21645,-5.48803e-07
2.20193,-5.38786e-07
2.18744,-5.29166e-07
2.17298,-5.1991e-07
2.15855,-5.10984e-07
2.14414,-5.02354e-07
2.12977,-4.9399e-07
2.11542,-4.85861e-07
2.1011,-4.77938e-07
2.08681,-4.70195e-07
2.07255,-4.62606e-07
2.05832,-4.5515e-07
2.04412,-4.47805e-07
2.02995,-4.40551e-07
2.0158,-4.33371e-07
2.00168,-4.26248e-07
1.9876,-4.19168e-07
1.97354,-4.12117e-07
1.9595,-4.05082e-07
1.9455,-3.98053e-07
1.93152,-3.9102e-07
1.91758,-3.83972e-07
1.90366,-3.76902e-07
1.88977,-3.69801e-07
1.8759,-3.62663e-07
1.86207,-3.55481e-07
1.84826,-3.4825e-07
1.83448,-3.40963e-07
1.82073,-3.33617e-07
1.807,-3.26206e-07
1.79331,-3.18726e-07
1.77964,-3.11174e-07
1.76599,-3.03545e-07
1.75238,-2.95836e-07
1.73879,-2.88045e-07
1.72523,-2.82465e-07
1.7117,-2.82169e-07
1.6982,-2.82424e-07
1.68472,-2.98426e-07
1.67127,-3.26144e-07
1.65784,-3.58068e-07
1.64445,-3.76506e-07
1.63108,-3.95746e-07
1.61773,-3.79638e-07
1.60442,-3.45331e-07
1.59113,-2.99113e-07
1.57787,-2.47979e-07
1.56463,-1.94513e-07
1.55142,-1.41401e-07
1.53824,-8.95665e-08
1.52508,-3.99178e-08
1.51195,7.33064e-09
1.49885,5.19788e-08
1.48577,9.40914e-08
1.47272,1.50444e-07
1.4597,1.97705e-07
1.4467,2.46648e-07
1.43373,2.89833e-07
1.42078,3.31911e-07
1.40786,3.70295e-07
1.39497,4.06928e-07
1.3821,4.40956e-07
1.36926,4.73237e-07
1.35644,5.03549e-07
