position_error,angular_error
0.23061,1.04446e-06
0.227733,1.02232e-06
0.224893,1.00081e-06
0.222088,9.79905e-07
0.219318,9.59571e-07
0.216582,9.39786e-07
0.213881,9.20526e-07
0.211214,9.01769e-07
0.208579,8.83496e-07
0.205978,8.65686e-07
0.203409,8.48323e-07
0.200871,8.3139e-07
0.198366,8.14872e-07
0.195892,7.98753e-07
0.193449,7.83022e-07
0.191036,7.67664e-07
0.188653,7.52564e-07
0.1863,7.37712e-07
0.183977,7.23099e-07
0.181682,7.08727e-07
0.179416,6.94593e-07
0.177178,6.807e-07
0.174968,6.67045e-07
0.172786,6.5363e-07
0.170631,6.40451e-07
0.168503,6.27509e-07
0.166401,6.14802e-07
0.164325,6.02328e-07
0.162276,5.90085e-07
0.160252,5.78071e-07
0.158253,5.66284e-07
0.156279,5.54722e-07
0.15433,5.43383e-07
0.152405,5.32263e-07
0.150504,5.2136e-07
0.148627,5.10672e-07
0.146773,5.00195e-07
0.144943,4.89927e-07
0.143135,4.79864e-07
0.14135,4.70005e-07
0.139587,4.60345e-07
0.137846,4.50882e-07
0.136126,4.41613e-07
0.134429,4.32534e-07
0.132752,4.23643e-07
0.131096,4.14937e-07
0.129461,4.06412e-07
0.127846,3.98066e-07
0.126252,3.89895e-07
0.124677,3.81896e-07
0.123122,3.74033e-07
0.121586,3.66283e-07
0.12007,3.58655e-07
0.118572,3.51143e-07
0.117093,3.43753e-07
0.115633,3.36484e-07
0.114191,3.29339e-07
0.112766,3.22316e-07
0.11136,3.15418e-07
0.109971,3.08643e-07
0.108599,3.01992e-07
0.107245,2.95465e-07
0.105907,2.89061e-07
0.104586,2.8278e-07
0.103282,2.7662e-07
0.101994,2.7058e-07
0.100722,2.6466e-07
0.0994652,2.58858e-07
9.25234,-2.64432
9.24598,-0.661862
9.2483,-1.74827
9.23861,-0.963039
9.23306,-1.28804
9.22027,-0.949947
9.20774,-1.01157
9.19098,-0.829284
9.17337,-0.816297
9.15328,-0.704291
9.13215,-0.665528
9.10955,-0.590756
9.08612,-0.548572
9.06177,-0.493036
9.03682,-0.453745
9.01129,-0.410487
8.98535,-0.376005
8.95905,-0.341333
8.93248,-0.311892
8.9057,-0.283647
8.87875,-0.258848
8.85167,-0.235632
8.8245,-0.214887
8.79726,-0.195713
8.76997,-0.17842
8.74265,-0.162543
8.71532,-0.148154
8.68799,-0.134991
8.66067,-0.123029
8.63337,-0.112107
8.60608,-0.102168
8.57883,-0.0931016
8.55161,-0.0848461
8.52443,-0.0773188
8.49728,-0.0704621
8.47018,-0.0642118
8.44313,-0.0585173
8.41612,-0.0533272
8.38915,-0.048598
8.36224,-0.044288
8.33538,-0.0403605
8.30856,-0.0367813
8.2818,-0.0335197
8.25508,-0.0305473
8.22842,-0.0278386
8.20181,-0.0253701
8.17526,-0.0231205
8.14875,-0.0210705
8.1223,-0.0192023
8.0959,-0.0174997
8.06955,-0.0159482
8.04326,-0.0145343
8.01701,-0.0132457
7.99082,-0.0120714
7.96469,-0.0110013
7.9386,-0.010026
7.91257,-0.00913723
7.88658,-0.00832726
7.86066,-0.00758911
7.83478,-0.0069164
7.80895,-0.00630334
7.78318,-0.00574464
7.75746,-0.00523547
7.73179,-0.00477144
7.70617,-0.00434855
7.6806,-0.00396315
7.65509,-0.00361191
7.62962,-0.00329182
7.60421,-0.0030001
7.57885,-0.00273423
7.55354,-0.00249194
7.52828,-0.00227112
7.50307,-0.00206987
7.47791,-0.00188647
7.4528,-0.00171931
7.42775,-0.00156698
7.40274,-0.00142814
7.37778,-0.00130161
7.35288,-0.00118629
7.32802,-0.00108119
7.30321,-0.000985409
7.27846,-0.000898112
7.25375,-0.000818552
7.2291,-0.000746041
7.20449,-0.000679956
7.17993,-0.000619726
7.15542,-0.000564833
7.13096,-0.000514804
7.10655,-0.000469207
7.08219,-0.00042765
7.05788,-0.000389775
7.03362,-0.000355255
7.00941,-0.000323793
6.98524,-0.000295119
6.96113,-0.000268984
6.93706,-0.000245165
6.91304,-0.000223455
6.88907,-0.000203669
6.86514,-0.000185635
6.84127,-0.000169199
6.81744,-0.000154218
6.79366,-0.000140564
6.76993,-0.000128119
6.74625,-0.000116777
6.72261,-0.000106439
6.69903,-9.7016e-05
6.67549,-8.84279e-05
6.65199,-8.06003e-05
6.62855,-7.34657e-05
6.60515,-6.6963e-05
6.5818,-6.1036e-05
6.55849,-5.56338e-05
6.53523,-5.07098e-05
6.51202,-4.62219e-05
6.48886,-4.21312e-05
6.46574,-3.84027e-05
6.44267,-3.50043e-05
6.41965,-3.19067e-05
6.39667,-2.90834e-05
6.37374,-2.65099e-05
6.35085,-2.41643e-05
6.32801,-2.20262e-05
6.30522,-2.00774e-05
6.28247,-1.83011e-05
6.25977,-1.6682e-05
6.23711,-1.52062e-05
6.2145,-1.3861e-05
6.19193,-1.26349e-05
6.16941,-1.29751e-05
6.14694,-1.57016e-05
6.12451,-1.98739e-05
6.10212,-2.5749e-05
6.07979,-3.28265e-05
6.05749,-4.11364e-05
6.03524,-5.03859e-05
6.01304,-6.05208e-05
5.99088,-7.13521e-05
5.96876,-8.28005e-05
5.94669,-9.47334e-05
5.92467,-0.000107071
5.90268,-0.000119714
5.88075,-0.00013259
5.85885,-0.000145622
5.837,-0.000158749
5.8152,-0.000171909
5.79344,-0.000185052
5.77172,-0.000198128
5.75005,-0.000211094
5.72842,-0.000223912
5.70683,-0.000236547
5.68529,-0.000248967
5.66379,-0.000261145
5.64233,-0.000273055
5.62092,-0.000284676
5.59955,-0.000295988
5.57822,-0.000306972
5.55693,-0.000317613
5.53569,-0.000327899
5.51449,-0.000337815
5.49334,-0.000347354
5.47222,-0.000356504
5.45115,-0.000365259
5.43012,-0.000373611
5.40914,-0.000381556
5.38819,-0.000389088
5.36729,-0.000396204
5.34643,-0.000402901
5.32561,-0.000409177
5.30484,-0.000415031
5.2841,-0.00042046
5.26341,-0.000425465
5.24276,-0.000430046
5.22215,-0.000434204
5.20158,-0.000437938
5.18106,-0.000441251
5.16057,-0.000444144
5.14013,-0.000446619
5.11972,-0.000448678
5.09936,-0.000450323
5.07904,-0.000451557
5.05876,-0.000452382
5.03852,-0.000452802
5.01832,-0.00045282
4.99817,-0.000452439
4.97805,-0.000451662
4.95797,-0.000450493
4.93793,-0.000448934
4.91794,-0.000446991
4.89798,-0.00044332
4.87807,-0.000438805
4.85819,-0.000433036
4.83835,-0.000426443
4.81856,-0.000418887
4.7988,-0.000410591
4.77909,-0.000401529
4.75941,-0.000391828
4.73977,-0.000381505
