x,y,theta,v
1.18795,6.82188,1.5348,0.288854
1.18847,6.83628,1.5348,0.288272
1.18898,6.85066,1.5348,0.287692
1.1895,6.865,1.5348,0.287113
1.19002,6.87932,1.5348,0.286536
1.19053,6.89361,1.5348,0.285959
1.19104,6.90787,1.5348,0.285384
1.19156,6.9221,1.5348,0.284809
1.19207,6.9363,1.5348,0.284236
1.19258,6.95048,1.5348,0.283664
1.19309,6.96462,1.5348,0.283094
1.1936,6.97874,1.5348,0.282524
1.1941,6.99283,1.5348,0.281956
1.19461,7.00689,1.5348,0.281388
1.19512,7.02092,1.5348,0.280822
1.19562,7.03493,1.5348,0.280257
1.19612,7.0489,1.5348,0.279693
1.19663,7.06285,1.5348,0.27913
1.19713,7.07677,1.5348,0.278569
1.19763,7.09066,1.5348,0.278008
1.19813,7.10452,1.5348,0.277449
1.19862,7.11836,1.5348,0.27689
1.19912,7.13217,1.5348,0.276333
1.19962,7.14595,1.5348,0.275777
1.20011,7.1597,1.5348,0.275222
1.20061,7.17342,1.5348,0.274668
1.2011,7.18712,1.5348,0.274116
1.20159,7.20079,1.5348,0.273564
1.20208,7.21443,1.5348,0.273014
1.20258,7.22804,1.5348,0.272464
1.20306,7.24163,1.5348,0.271916
1.20355,7.25519,1.5348,0.271369
1.20404,7.26872,1.5348,0.270823
1.20453,7.28223,1.5348,0.270278
1.20501,7.29571,1.5348,0.269734
1.2055,7.30916,1.5348,0.269191
1.20598,7.32258,1.5348,0.26865
1.20646,7.33598,1.5348,0.268109
1.20694,7.34935,1.5348,0.26757
1.20742,7.36269,1.5348,0.267031
1.2079,7.37601,1.5348,0.266494
1.20838,7.3893,1.5348,0.265958
1.20886,7.40256,1.5348,0.265423
1.20934,7.41579,1.5348,0.264889
1.20981,7.429,1.5348,0.264356
1.21029,7.44219,1.5348,0.263824
1.21076,7.45534,1.5348,0.263293
1.21123,7.46847,1.5348,0.262763
1.21171,7.48158,1.5348,0.262234
1.21218,7.49465,1.5348,0.261707
1.21265,7.5077,1.5348,0.26118
1.21312,7.52073,1.5348,0.260654
1.21358,7.53373,1.5348,0.26013
1.21405,7.5467,1.5348,0.259607
1.21452,7.55964,1.5348,0.259084
1.21498,7.57256,1.5348,0.258563
1.21545,7.58546,1.5348,0.258043
1.21591,7.59832,1.5348,0.257523
1.21637,7.61117,1.5348,0.257005
1.21683,7.62398,1.5348,0.256488
1.21729,7.63677,1.5348,0.255972
1.21775,7.64954,1.5348,0.255457
1.21821,7.66228,1.5348,0.254943
1.21867,7.67499,1.5348,0.25443
1.21913,7.68768,1.5348,0.253918
1.21958,7.70034,1.5348,0.253407
1.22004,7.71298,1.5348,0.252897
1.22049,7.72559,1.5348,0.252388
1.22095,7.73817,1.5348,0.25188
1.2214,7.75073,1.5348,0.251374
1.22185,7.76327,1.5348,0.250868
1.2223,7.77578,1.5348,0.250363
1.22275,7.78826,1.5348,0.249859
1.2232,7.80072,1.5348,0.249356
1.22365,7.81316,1.5348,0.248855
1.22409,7.82557,1.5348,0.248354
1.22454,7.83795,1.5348,0.247854
1.22498,7.85031,1.5348,0.247355
1.22543,7.86265,1.5348,0.246858
1.22587,7.87496,1.5348,0.246361
1.22631,7.88724,1.5348,0.245865
1.22676,7.8995,1.5348,0.245371
1.2272,7.91174,1.5348,0.244877
1.22764,7.92395,1.5348,0.244384
1.22808,7.93614,1.5348,0.243892
1.22851,7.9483,1.5348,0.243402
1.22895,7.96044,1.5348,0.242912
1.22939,7.97255,1.5348,0.242423
1.22982,7.98464,1.5348,0.241935
1.23026,7.9967,1.5348,0.241434
1.23069,8.00871,1.53481,0.240333
1.23112,8.02064,1.53484,0.238787
1.23154,8.03248,1.53486,0.236912
1.23197,8.04421,1.53489,0.234795
1.23238,8.05583,1.53492,0.232503
1.23279,8.06733,1.53494,0.230086
1.2332,8.0787,1.53496,0.227583
1.23361,8.08994,1.53497,0.225023
1.234,8.10106,1.53497,0.222428
1.2344,8.11204,1.53497,0.219814
1.23479,8.12289,1.53497,0.217194
1.23517,8.13362,1.53497,0.214577
1.23555,8.14421,1.53496,0.21197
1.23593,8.15467,1.53495,0.20938
1.2363,8.165,1.53494,0.206808
1.23666,8.17521,1.53493,0.204259
1.23702,8.18529,1.53492,0.201735
1.23738,8.19525,1.53491,0.199236
1.23774,8.20508,1.53489,0.196764
1.23808,8.21479,1.53488,0.19432
1.23843,8.22438,1.53487,0.191904
1.23877,8.23385,1.53486,0.189516
1.23911,8.2432,1.53485,0.187157
1.23944,8.25243,1.53484,0.184826
1.23977,8.26155,1.53484,0.182523
1.24009,8.27056,1.53483,0.180249
1.24041,8.27946,1.53482,0.178002
1.24073,8.28824,1.53481,0.175783
1.24104,8.29691,1.53481,0.173592
1.24135,8.30548,1.5348,0.171427
1.24165,8.31394,1.53479,0.169289
1.24195,8.32229,1.53479,0.167178
1.24225,8.33054,1.53478,0.165094
1.24254,8.33869,1.53478,0.163035
1.24283,8.34673,1.53478,0.161001
