acceleration,angular_velocity
-0.00985468,-6.86381e-07
-0.00983485,-9.18431e-07
-0.00981506,-8.48001e-07
-0.00979532,-9.04865e-07
-0.00977561,-8.62585e-07
-0.00975593,-8.76268e-07
-0.0100351,4.41443e-06
-0.0220076,0.000297283
-0.0309159,0.000447312
-0.0375053,0.000574945
-0.0423391,0.000566631
-0.0458416,0.000516055
-0.0483336,0.000419718
-0.0500592,0.000315209
-0.0512037,0.000207696
-0.0519085,0.000111025
-0.0522809,2.64412e-05
-0.0524029,-4.32881e-05
-0.0523365,-9.88891e-05
-0.0521292,-0.000143047
-0.0518169,-0.000176279
-0.0514267,-0.000199981
-0.0509795,-0.000214915
-0.0504909,-0.000222628
-0.0499727,-0.000224842
-0.049434,-0.000223268
-0.0488815,-0.000220879
-0.0483205,-0.000213457
-0.0477546,-0.000205006
-0.0471869,-0.000194494
-0.0466195,-0.000183537
-0.0460541,-0.000171988
-0.0454919,-0.000160524
-0.0449337,-0.000149393
-0.0443803,-0.000141354
-0.0438321,-0.000130894
-0.0432894,-0.000122454
-0.0427526,-0.000114314
-0.0422217,-0.000105204
-0.0416968,-9.66294e-05
-0.0411781,-8.81063e-05
-0.0406655,-8.01862e-05
-0.0401591,-7.26644e-05
-0.0396588,-6.5729e-05
-0.0391646,-5.92784e-05
-0.0386765,-5.33625e-05
-0.0381943,-4.79195e-05
-0.0377182,-4.29474e-05
-0.0372479,-3.84017e-05
-0.0367835,-3.42623e-05
-0.0363248,-3.04935e-05
-0.0358718,-2.70709e-05
-0.0354244,-2.40187e-05
-0.0349827,-2.12728e-05
-0.0345464,-1.91209e-05
-0.0341156,-1.66162e-05
-0.0336901,-1.47606e-05
-0.0332699,-1.28281e-05
-0.032855,-1.1234e-05
-0.0324452,-9.6868e-06
-0.0320406,-8.37391e-06
-0.0316409,-7.10143e-06
-0.0312463,-6.00604e-06
-0.0308566,-4.98627e-06
-0.0304717,-4.09224e-06
-0.0300917,-3.27736e-06
-0.0297164,-2.87829e-06
-0.0293458,-2.2315e-06
-0.0289798,-1.73818e-06
-0.0286183,-1.18452e-06
-0.0282614,-1.47121e-06
-0.0279089,-7.16885e-07
-0.0275608,-5.01141e-07
-0.0272171,4.50221e-08
-0.0268776,3.15214e-07
-0.0265424,6.94659e-07
-0.0262113,9.35111e-07
-0.0258844,1.20278e-06
-0.0255616,1.39495e-06
-0.0252428,1.58382e-06
-0.0249279,1.72734e-06
-0.024617,1.85757e-06
-0.02431,1.95786e-06
-0.0240068,2.04299e-06
-0.0237073,2.10702e-06
-0.0234117,2.1603e-06
-0.0231197,2.19585e-06
-0.0228313,2.17616e-06
-0.0225465,2.16224e-06
-0.0222653,2.13251e-06
-0.0219876,2.10589e-06
-0.0217134,2.07181e-06
-0.0214426,2.03819e-06
-0.0211751,1.99997e-06
-0.020911,1.96198e-06
-0.0206502,1.89697e-06
-0.0203926,1.7747e-06
-0.0201383,1.76496e-06
-0.0198871,1.70895e-06
-0.0196391,1.69206e-06
-0.0193941,1.62705e-06
-0.0191522,1.5451e-06
-0.0189134,1.47337e-06
-0.0186775,1.4017e-06
-0.0184445,1.338e-06
-0.0182145,1.27685e-06
-0.0179873,1.2213e-06
-0.0177629,1.16877e-06
-0.0175414,1.1204e-06
-0.0173226,1.07495e-06
-0.0171065,1.03391e-06
-0.0168932,9.9938e-07
-0.0166825,9.6521e-07
-0.0164744,9.34356e-07
-0.0162689,9.04408e-07
-0.016066,8.76661e-07
-0.0158656,8.50025e-07
-0.0156677,8.25016e-07
-0.0154723,8.01109e-07
-0.0152793,7.78483e-07
-0.0150888,7.56868e-07
-0.0149006,7.36303e-07
-0.0147147,7.16635e-07
-0.0145312,6.97849e-07
-0.01435,6.7985e-07
-0.014171,6.62604e-07
-0.0139942,6.46044e-07
-0.0138197,6.30134e-07
-0.0136473,6.14823e-07
-0.0134771,6.00078e-07
-0.013309,5.85859e-07
-0.013143,5.72136e-07
-0.0129791,5.58876e-07
-0.0128172,5.46053e-07
-0.0126573,5.33641e-07
-0.0124995,5.21618e-07
-0.0123436,5.0996e-07
-0.0121896,4.9865e-07
-0.0120376,4.89732e-07
-0.0118874,4.81054e-07
-0.0117392,4.72651e-07
-0.0115927,4.64234e-07
-0.0114482,4.55937e-07
-0.0113054,4.47665e-07
-0.0111644,4.39486e-07
-0.0110251,4.31364e-07
-0.0108876,4.23331e-07
-0.0107518,4.15375e-07
-0.0106177,4.07511e-07
-0.0104853,3.99735e-07
-0.0103545,3.92057e-07
-0.0102253,3.84475e-07
-0.0100978,3.76994e-07
-0.00997186,3.69615e-07
-0.00984749,3.6234e-07
-0.00972466,3.55172e-07
-0.00960337,3.4811e-07
-0.00948359,3.41157e-07
-0.00936531,3.34312e-07
-0.0092485,3.27576e-07
-0.00913314,3.20951e-07
-0.00901923,3.14435e-07
-0.00890674,3.08028e-07
-0.00879565,3.01732e-07
-0.00868594,2.95544e-07
